Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
LogReg,0.8111111111111111,0.7164179104477612,0.24120603015075376,0.3609022556390977,0.7130517064638455
CatBoost,0.82,0.6741996233521658,0.3597989949748744,0.4692005242463958,0.7841945820400147
MLP,0.8162222222222222,0.6810344827586207,0.31758793969849247,0.433173406442769,0.7719843152997512
