Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
LogReg,0.8111111111111111,0.7164179104477612,0.24120603015075376,0.3609022556390977,0.7130517064638455
CatBoost,0.82,0.6741996233521658,0.3597989949748744,0.4692005242463958,0.7841945820400147
MLP,0.8175555555555556,0.6775510204081633,0.3336683417085427,0.4471380471380471,0.7723784399888171
