iter	Logloss
0	0.6650449874
1	0.640085308
2	0.6176135703
3	0.5975837422
4	0.5797987688
5	0.5640625153
6	0.5503707612
7	0.5384315967
8	0.527161087
9	0.5174373561
10	0.5087349569
11	0.5008392042
12	0.4938345962
13	0.4877794118
14	0.4819025697
15	0.4767542912
16	0.4722823711
17	0.4680941401
18	0.4642566919
19	0.4608900474
20	0.4579191071
21	0.4551838516
22	0.4529336859
23	0.4509479195
24	0.4487603092
25	0.4468961631
26	0.445149733
27	0.4436056651
28	0.4421800314
29	0.4409172956
30	0.4397554039
31	0.4386576913
32	0.437736427
33	0.4368385946
34	0.4358281146
35	0.4350410108
36	0.4343121889
37	0.4339818472
38	0.4333214952
39	0.4326688571
40	0.4319821393
41	0.4315060506
42	0.4310192062
43	0.4305229121
44	0.4301892901
45	0.4298280956
46	0.429484513
47	0.4291183761
48	0.4287659067
49	0.4283779082
50	0.4280766781
51	0.4277529223
52	0.4275248927
53	0.427156933
54	0.4269184233
55	0.4267016796
56	0.4264562422
57	0.4262718991
58	0.4259037595
59	0.4256455821
60	0.4252848876
61	0.4249510713
62	0.4247233293
63	0.4245644161
64	0.4244231458
65	0.4242519755
66	0.4240963485
67	0.4239102722
68	0.4237385253
69	0.4234930821
70	0.4233706331
71	0.4231903633
72	0.4229761631
73	0.4228024709
74	0.422624412
75	0.4224214823
76	0.4222893103
77	0.4221366032
78	0.4219196831
79	0.4217406262
80	0.4215838873
81	0.4213980051
82	0.4211211768
83	0.4210217536
84	0.4208381755
85	0.4206367444
86	0.4204827314
87	0.420328385
88	0.4202221208
89	0.4201169383
90	0.4199958796
91	0.4198604253
92	0.419633002
93	0.4195011013
94	0.4194052996
95	0.419261249
96	0.4191127415
97	0.4189597963
98	0.418812948
99	0.4186835939
100	0.4185510718
101	0.4184635334
102	0.4182742881
103	0.4181518822
104	0.4180731984
105	0.4179619418
106	0.4178665379
107	0.4177779046
108	0.4176879625
109	0.4175935794
110	0.4174936629
111	0.4174181155
112	0.4172896423
113	0.4171940552
114	0.4171314394
115	0.416988211
116	0.4169266067
117	0.4167576881
118	0.4166647103
119	0.4165442724
120	0.4164602769
121	0.4164018809
122	0.4162874242
123	0.4161464643
124	0.416054347
125	0.415879599
126	0.4157975433
127	0.4156920788
128	0.4155389242
129	0.4154536724
130	0.4153914078
131	0.4152815268
132	0.4151813511
133	0.4150928743
134	0.4150126301
135	0.4149019813
136	0.4147241432
137	0.4146458086
138	0.4145302128
139	0.4144280927
140	0.4142046617
141	0.414067857
142	0.4139846577
143	0.4139219066
144	0.41379497
145	0.4137119277
146	0.4135997648
147	0.4135057997
148	0.413431752
149	0.4133640662
150	0.4132000766
151	0.4130966405
152	0.4130376394
153	0.4129967116
154	0.41290763
155	0.412736449
156	0.4126432646
157	0.4125969323
158	0.4124588839
159	0.4124071117
160	0.4123126721
161	0.4122404718
162	0.4121409081
163	0.4120114185
164	0.4119246809
165	0.4118699302
166	0.4117592377
167	0.4115969073
168	0.4114928333
169	0.4113711769
170	0.41128779
171	0.4112169676
172	0.4111171014
173	0.4110404219
174	0.4109354974
175	0.4108172542
176	0.4106777331
177	0.4106027419
178	0.4105614425
179	0.4104701407
180	0.4103447389
181	0.4102827879
182	0.41016579
183	0.4100807074
184	0.4099475348
185	0.4098378887
186	0.4097445457
187	0.4096626643
188	0.4094989263
189	0.4094271762
190	0.4093623269
191	0.4092895359
192	0.4092149814
193	0.4090933296
194	0.4090130848
195	0.4088791244
196	0.4087877794
197	0.4087098725
198	0.4086457556
199	0.4085486875
200	0.4084016246
201	0.4083084593
202	0.4082392129
203	0.4080879406
204	0.4079865853
205	0.4078780955
206	0.407800545
207	0.4076837169
208	0.4075504892
209	0.4074515961
210	0.4074017224
211	0.4073155611
212	0.4072263466
213	0.4071644209
214	0.4070694761
215	0.4069834807
216	0.4068401993
217	0.4067582258
218	0.4066824867
219	0.4065528164
220	0.4064365465
221	0.4062905575
222	0.4061564165
223	0.4060266217
224	0.4059458989
225	0.4058548033
226	0.4057668593
227	0.405706603
228	0.4056064771
229	0.405540613
230	0.4054555195
231	0.4053520549
232	0.4052171016
233	0.405098917
234	0.4050269191
235	0.404921751
236	0.4047827185
237	0.4047092048
238	0.4045829828
239	0.4044761457
240	0.4044048881
241	0.4042994307
242	0.4041812667
243	0.4040847551
244	0.4040035321
245	0.4039070316
246	0.403805439
247	0.4036774197
248	0.4036285967
249	0.4035704299
250	0.4034853535
251	0.4033576518
252	0.4032150766
253	0.4031230087
254	0.4030400889
255	0.4029049043
256	0.4028482384
257	0.4027554954
258	0.4026535038
259	0.4025358792
260	0.4023822866
261	0.4022650395
262	0.4021882206
263	0.4020862133
264	0.4019979009
265	0.4019250308
266	0.4018559212
267	0.4017822997
268	0.4016594148
269	0.4015933264
270	0.4015328585
271	0.4014243333
272	0.401272112
273	0.4011944515
274	0.4010796406
275	0.4010076484
276	0.4008601766
277	0.4007657104
278	0.4006613151
279	0.4005141397
280	0.4003717893
281	0.4002629544
282	0.4001963995
283	0.4000763884
284	0.3999836987
285	0.3998760584
286	0.3997278674
287	0.3996258263
288	0.3995091996
289	0.3994462721
290	0.3993018758
291	0.3991930983
292	0.3990910477
293	0.3989701141
294	0.3988352723
295	0.3987333464
296	0.3986623602
297	0.3985401121
298	0.3984244449
299	0.3983471851
