iter	Logloss
0	0.6657219784
1	0.6410383943
2	0.6184856617
3	0.5983732734
4	0.5811500423
5	0.5654271783
6	0.5515961845
7	0.539636023
8	0.5282112326
9	0.5183763286
10	0.5097204421
11	0.5018329201
12	0.4945627003
13	0.4885394433
14	0.4826732468
15	0.4773858536
16	0.4729388082
17	0.4687355615
18	0.4648657854
19	0.4614848024
20	0.458502679
21	0.4556151829
22	0.4533403755
23	0.4513480295
24	0.4494434049
25	0.4475154994
26	0.4457721647
27	0.4441252776
28	0.4425979882
29	0.4413883822
30	0.4401697641
31	0.4390460197
32	0.438115412
33	0.4371910831
34	0.4362656232
35	0.4353832068
36	0.434542295
37	0.4338114702
38	0.4331690242
39	0.4325306464
40	0.432048597
41	0.4315495047
42	0.4310678303
43	0.4306462988
44	0.4301170947
45	0.4297084753
46	0.4291161229
47	0.4287114906
48	0.428308863
49	0.427971871
50	0.4276053116
51	0.4273103555
52	0.4269106883
53	0.4266749698
54	0.4263067392
55	0.4260431431
56	0.4256701193
57	0.4252710187
58	0.4250251479
59	0.4247149977
60	0.4244388575
61	0.4241179297
62	0.4239089996
63	0.4237417531
64	0.4234917935
65	0.4232293815
66	0.4230285457
67	0.4228123414
68	0.4225385348
69	0.4222946156
70	0.4221453229
71	0.4218811537
72	0.4217244672
73	0.4215446152
74	0.4213672214
75	0.421123546
76	0.4208744042
77	0.4207165173
78	0.4205626617
79	0.4203654712
80	0.4201187163
81	0.419901835
82	0.4197219773
83	0.4194819476
84	0.4192942227
85	0.4191230714
86	0.4190059946
87	0.4189294339
88	0.4188103835
89	0.4186646439
90	0.4184594149
91	0.418321342
92	0.4181543019
93	0.4179756302
94	0.417799409
95	0.4176775118
96	0.4175134236
97	0.4173217876
98	0.4171673026
99	0.4170404621
100	0.4169263645
101	0.4167930236
102	0.4166779286
103	0.4165613601
104	0.416493725
105	0.416384202
106	0.4161682368
107	0.4159609793
108	0.4158692949
109	0.4156058088
110	0.4154804736
111	0.4153392347
112	0.415196409
113	0.4150445409
114	0.4148490039
115	0.4147643862
116	0.4146461163
117	0.4145017934
118	0.4143430439
119	0.4142268747
120	0.4140810304
121	0.4139147103
122	0.4137948268
123	0.4136822563
124	0.4135028353
125	0.4132903683
126	0.4132146099
127	0.4130623293
128	0.4129800368
129	0.4128327601
130	0.4127036007
131	0.4125663281
132	0.4124146778
133	0.4122053386
134	0.4119609887
135	0.4118216613
136	0.4117543143
137	0.4116488392
138	0.4115279306
139	0.4113640363
140	0.4112401835
141	0.4111310524
142	0.4110448919
143	0.4109199825
144	0.4108279753
145	0.4107519358
146	0.4106128561
147	0.4105967705
148	0.4105345862
149	0.4104241124
150	0.4102569427
151	0.4100977947
152	0.4100210679
153	0.4099286938
154	0.4098357704
155	0.4097126141
156	0.4096124193
157	0.4095280167
158	0.4093754898
159	0.4092850313
160	0.4090622682
161	0.4089255434
162	0.4088224158
163	0.4086447434
164	0.4084336185
165	0.4083172795
166	0.4081332011
167	0.4080479976
168	0.4079173645
169	0.4077660095
170	0.4076372625
171	0.4075487656
172	0.4074650455
173	0.4073341304
174	0.4072376067
175	0.4071365427
176	0.4070156293
177	0.4068174411
178	0.4067217432
179	0.4065726284
180	0.406478646
181	0.406298324
182	0.4061548955
183	0.4060103346
184	0.4058881278
185	0.4057542157
186	0.4056831338
187	0.4055748101
188	0.4054410687
189	0.4053784845
190	0.4052735584
191	0.4051582403
192	0.4050898833
193	0.404991771
194	0.4048096677
195	0.4047110817
196	0.4046093251
197	0.4044844589
198	0.4043520745
199	0.4041303556
200	0.404011822
201	0.4038662064
202	0.4037254578
203	0.4036053913
204	0.403536051
205	0.4034377686
206	0.4032754752
207	0.4031962734
208	0.4031265502
209	0.4029941677
210	0.4028118187
211	0.4026418359
212	0.4024961584
213	0.4022803812
214	0.402139422
215	0.4020779958
216	0.401863636
217	0.4017519083
218	0.4015437882
219	0.4013348429
220	0.4012577526
221	0.4011262466
222	0.4009756881
223	0.4007951777
224	0.4007293805
225	0.4006052743
226	0.4005326519
227	0.4004753403
228	0.4003751867
229	0.4002488536
230	0.400104138
231	0.3999817645
232	0.3998238117
233	0.3996575347
234	0.3995421218
235	0.3994026214
236	0.3993020186
237	0.3991561045
238	0.3990608941
239	0.398925093
240	0.3986955426
241	0.3985557946
242	0.3983501631
243	0.3982116918
244	0.3980318775
245	0.3978264211
246	0.3976962181
247	0.39755788
248	0.3974991175
249	0.3972878459
250	0.397208625
251	0.3970421205
252	0.3968531578
253	0.3966635912
254	0.3965565667
255	0.3964572851
256	0.396382186
257	0.3963381725
258	0.3961847833
259	0.3960609473
260	0.3958643974
261	0.3957038025
262	0.3955354893
263	0.3954403004
264	0.3953204635
265	0.3951269306
266	0.3950942202
267	0.3949230102
268	0.3948120406
269	0.3946237247
270	0.3945324903
271	0.3943838253
272	0.3942938012
273	0.3942219471
274	0.3941146546
275	0.3940016225
276	0.3938101383
277	0.3936791049
278	0.3934833912
279	0.3933102722
280	0.3931375178
281	0.3930282952
282	0.3929197056
283	0.3928082693
284	0.3927068936
285	0.392594698
286	0.3924266669
287	0.3922221752
288	0.3920725765
289	0.3919487315
290	0.3918516371
291	0.3917511078
292	0.3915870383
293	0.3914313508
294	0.3913201637
295	0.3911765405
296	0.3909914219
297	0.3908917171
298	0.3907178901
299	0.3906067182
